,reward,action,soc_kwh,generation_kW,load_kW,unmet_kW,spill_kW,charge_kW,discharge_kW
2024-03-03 19:00:00+05:00,-102.73592516807177,0.07866827,25.38850879217342,3.4595639140881533,6.452731632150833,1.0283592516807176,0.0,0.0,0.0
2024-03-03 20:00:00+05:00,0.1,0.10415471,25.896062309733036,5.730229384548098,5.66688618600381,0.0,0.0,0.5342668605890726,0.0
2024-03-03 21:00:00+05:00,-406.29554137030993,-0.14903128,24.327311978456695,0.0,5.102878926018539,4.063955413703099,0.0,0.0,1.4903128147125244
2024-03-03 22:00:00+05:00,-359.4107026743269,-0.07278541,23.561149796301287,1.7833669033252304,3.694867926494354,3.5951070267432694,0.0,0.0,0.7278540730476379
2024-03-03 23:00:00+05:00,-611.508799818206,0.04377527,23.561149796301287,1.3762944229480234,3.413998795836887,6.11608799818206,0.0,0.0,0.0
2024-03-04 00:00:00+05:00,-522.5733954526747,-0.36224458,19.748048994030295,0.0,3.8882222527472363,5.225733954526747,0.0,0.0,3.62244576215744
2024-03-04 01:00:00+05:00,-694.7158633414272,-0.10787335,18.612540042642387,2.0007286259177,4.619101528867108,6.947158633414272,0.0,0.0,1.078733503818512
2024-03-04 02:00:00+05:00,-0.0,0.25326464,19.637952036489555,11.991886817835951,5.08285185990344,0.0,0.0,1.0793810461549143,0.0
2024-03-04 03:00:00+05:00,-2.158292983738766,0.04753436,20.089528470565387,15.053587910701003,6.018069731606628,0.0,2.258292983738766,0.47534361481666565,0.0
2024-03-04 04:00:00+05:00,-99.0683305552865,0.13750039,20.089528470565387,11.746366252460806,6.135021089225165,0.9916833055528649,0.0,0.0,0.0
2024-03-04 05:00:00+05:00,-4.216851565108318,0.13897777,21.409817247916767,18.99383324748034,7.962069390119207,0.0,4.316851565108317,1.389777660369873,0.0
2024-03-04 06:00:00+05:00,-74.14327878314597,-0.06127522,20.764814917312414,11.85314955644765,8.813874191682519,0.7424327878314596,0.0,0.0,0.6127522140741348
2024-03-04 07:00:00+05:00,-119.2312659444251,-0.012212275,20.63626465840615,12.38027643808764,10.482350844853437,1.193312659444251,0.0,0.0,0.12212274596095085
2024-03-04 08:00:00+05:00,-22.003179903651514,0.27508342,20.63626465840615,12.149905781288656,10.529471652923588,0.22103179903651515,0.0,0.0,0.0
2024-03-04 09:00:00+05:00,0.1,0.042027764,20.99775385701006,11.445202295364695,11.946824566902606,0.0,0.0,0.3805149458988524,0.0
2024-03-04 10:00:00+05:00,-97.79399814992468,0.18076289,20.99775385701006,10.557789563367944,12.408931496066513,0.9789399814992468,0.0,0.0,0.0
2024-03-04 11:00:00+05:00,-71.65904343153849,0.5796718,20.99775385701006,9.34243221011983,13.244319042426659,0.7175904343153849,0.0,0.0,0.0
2024-03-04 12:00:00+05:00,-0.033327018757988824,1.0,30.49775385701006,19.494122147477434,12.96139602452719,0.0,0.033327018757988824,10.0,0.0
2024-03-04 13:00:00+05:00,-270.43693687529515,0.290395,30.49775385701006,4.9502031300475435,13.299369124747638,2.7043693687529515,0.0,0.0,0.0
2024-03-04 14:00:00+05:00,-436.2240588729634,0.12028639,30.49775385701006,2.6584144809630454,12.700582584414818,4.362240588729634,0.0,0.0,0.0
2024-03-04 15:00:00+05:00,-0.0,0.92785925,34.09281268172145,8.88997437526404,12.524752391410052,0.0,0.0,3.784272447064615,0.0
2024-03-04 16:00:00+05:00,-103.30960129473388,0.11086795,34.09281268172145,4.202440019536217,11.114432432822703,1.0330960129473388,0.0,0.0,0.0
2024-03-04 17:00:00+05:00,-83.04468125734657,-0.22442627,31.730430897181975,1.396276188522231,9.974806148050625,0.8304468125734656,0.0,0.0,2.2442626953125
2024-03-04 18:00:00+05:00,-116.20572492057816,-0.33546108,28.199261633241868,0.0,9.129140616093887,1.1630572492057816,0.0,0.0,3.354610800743103
2024-03-04 19:00:00+05:00,-91.08473775467662,-0.39067298,24.086914457041402,0.0,7.611702992012608,0.9118473775467661,0.0,0.0,3.906729817390442
2024-03-04 20:00:00+05:00,-73.6171365898624,-0.4257243,19.605606059547537,0.0,7.1354023792653605,0.736171365898624,0.0,0.0,4.257242977619171
2024-03-04 21:00:00+05:00,-196.12642016221048,-0.4288606,15.091283904147211,0.0,5.9890451542221514,1.9612642016221047,0.0,0.0,4.28860604763031
2024-03-04 22:00:00+05:00,-163.1621862699162,-0.38841012,11.002756312542274,1.1833087501589956,5.686889117033758,1.6316218626991619,0.0,0.0,3.8841012120246887
2024-03-04 23:00:00+05:00,-161.885317512853,-0.41217354,6.664087476751741,1.3766399715078887,4.746299982351872,1.61885317512853,0.0,0.0,4.121735394001007
2024-03-05 00:00:00+05:00,-777.818377350626,-0.39222723,5.0,0.0,4.2913646776373735,7.3402660164663285,0.0,0.0,1.6640874767517406
2024-03-05 01:00:00+05:00,-776.4365734158199,0.001545893,5.0,1.904746177125675,4.327393298701477,7.764365734158199,0.0,0.0,0.0
2024-03-05 02:00:00+05:00,-631.8090966532737,0.13976347,5.0,5.283772375282552,4.989841113273266,6.318090966532737,0.0,0.0,0.0
2024-03-05 03:00:00+05:00,-701.0711678437694,-0.025828639,5.0,4.959175022410323,5.7669959452656965,7.010711678437694,0.0,0.0,0.0
2024-03-05 04:00:00+05:00,-594.1901824590237,-0.08328757,5.0,6.67653186929215,6.763519106246314,5.9419018245902375,0.0,0.0,0.0
2024-03-05 05:00:00+05:00,-554.7647860403845,-0.26286387,5.0,7.788556112442953,7.903979766699189,5.547647860403845,0.0,0.0,0.0
2024-03-05 06:00:00+05:00,-2.268772314839488,-0.14249563,5.0,15.594749490279684,8.615903311731786,0.0,2.268772314839488,0.0,0.0
2024-03-05 07:00:00+05:00,-13.486074322176837,0.64662504,11.142937898635864,32.88550181249504,9.472114989476749,0.0,13.486074322176837,6.466250419616699,0.0
2024-03-05 08:00:00+05:00,-13.150784134878258,0.87918377,19.49518370628357,34.72324107994735,11.170192610603637,0.0,13.150784134878258,8.791837692260742,0.0
2024-03-05 09:00:00+05:00,-2.249760543328635,1.0,28.99518370628357,24.303852000050732,12.352722097032636,0.0,2.3497605433286353,10.0,0.0
2024-03-05 10:00:00+05:00,-0.0,0.53942555,33.78011710528555,15.8615908862762,12.825291102334978,0.0,0.0,5.036771998949455,0.0
2024-03-05 11:00:00+05:00,-545.8201972939969,0.032807752,33.78011710528555,4.589179066513272,13.055382884891143,5.4582019729399684,0.0,0.0,0.0
2024-03-05 12:00:00+05:00,-0.0,0.52152836,37.25059397204938,12.00165142528341,12.912794993927696,0.0,0.0,3.65313354396193,0.0
2024-03-05 13:00:00+05:00,-295.12816042709017,0.52883184,37.25059397204938,4.892679810778293,13.16285056142171,2.9512816042709016,0.0,0.0,0.0
2024-03-05 14:00:00+05:00,-14.960382931592385,0.9605356,44.61252969860247,29.65780967349553,12.216614478479187,0.0,14.960382931592385,7.74940602795062,0.0
2024-03-05 15:00:00+05:00,-1.8546097325376207,0.3565547,44.98062648493013,7.869700523610718,11.879087090988873,0.0,1.8546097325376207,0.3874703013975278,0.0
2024-03-05 16:00:00+05:00,-20.528943538189232,1.0,44.99903132424651,25.864550342916527,10.821270606235352,0.0,20.528943538189232,0.019373515069872838,0.0
2024-03-05 17:00:00+05:00,-28.633032235183983,1.0,44.999951566212324,32.898801833612104,10.015064127879967,0.0,28.633032235183983,0.0009686757534907997,0.0
2024-03-05 18:00:00+05:00,-12.358919373627106,1.0,44.99999757831062,16.824185708023144,8.847187981072018,0.0,12.358919373627106,4.84337876756058e-05,0.0
2024-03-05 19:00:00+05:00,-136.5521270103277,0.120557055,44.99999757831062,3.104916631363812,7.556408177277944,1.3655212701032768,0.0,0.0,0.0
2024-03-05 20:00:00+05:00,-101.91689352438632,-0.38062742,40.99339312015424,0.0,6.6758796627920445,1.0191689352438633,0.0,0.0,3.8062742352485657
2024-03-05 21:00:00+05:00,-12.857673311726536,-0.4337885,36.427198297240516,1.338629623666454,5.808071588086668,0.12857673311726536,0.0,0.0,4.337885081768036
2024-03-05 22:00:00+05:00,-341.72169096537647,-0.30995408,33.16452380244697,0.0,5.090041886681832,3.4172169096537646,0.0,0.0,3.0995407700538635
2024-03-05 23:00:00+05:00,-48.35328512181158,-0.11428422,31.961532040787652,5.813806008314424,4.631876349498294,0.48353285121811584,0.0,0.0,1.142842173576355
2024-03-06 00:00:00+05:00,-489.777293934833,-0.42057583,27.534418068575512,0.0,4.3516558781006465,4.89877293934833,0.0,0.0,4.205758273601532
2024-03-06 01:00:00+05:00,-441.93281817370894,-0.3299629,24.061124287294994,2.769846363428532,4.487923165768871,4.42032818173709,0.0,0.0,3.2996290922164917
2024-03-06 02:00:00+05:00,-354.49809150579233,-0.30073252,20.895518779896086,4.895259245243346,5.195962523959025,3.545980915057924,0.0,0.0,3.007325232028961
2024-03-06 03:00:00+05:00,-252.04546797349064,-0.4408889,16.25458286952059,4.895955879758959,5.554268228415624,2.5204546797349066,0.0,0.0,4.40888911485672
2024-03-06 04:00:00+05:00,-192.69249596563841,-0.2603023,13.51455860403051,7.8613058579366335,6.106328003116138,1.9269249596563842,0.0,0.0,2.603023052215576
2024-03-06 05:00:00+05:00,-0.9187068933050746,0.06664418,14.14767828401794,14.43256681453515,7.492382421130083,0.0,0.9187068933050746,0.6664417684078217,0.0
2024-03-06 06:00:00+05:00,-0.0,0.29520044,14.505744412241327,13.340262379664342,8.848179716684188,0.0,0.0,0.37691171391935363,0.0
2024-03-06 07:00:00+05:00,-141.68656875877622,0.5885777,14.505744412241327,11.382080197278414,10.026620763150484,1.4168656875877623,0.0,0.0,0.0
2024-03-06 08:00:00+05:00,-305.1069330537974,0.49370894,14.505744412241327,10.129489179315865,10.912505771681037,3.051069330537974,0.0,0.0,0.0
2024-03-06 09:00:00+05:00,-269.00810487286526,0.12735878,14.505744412241327,9.068214666712743,12.319951312145571,2.6900810487286524,0.0,0.0,0.0
2024-03-06 10:00:00+05:00,-372.2984232243195,0.09623912,14.505744412241327,7.4414047191555275,12.738049558013671,3.7229842322431947,0.0,0.0,0.0
2024-03-06 11:00:00+05:00,-651.11617980033,0.19619952,14.505744412241327,3.4605798597845183,13.287204022002149,6.5111617980033,0.0,0.0,0.0
2024-03-06 12:00:00+05:00,-10.16670470065789,1.0,24.005744412241327,28.941433563110696,13.208334558353245,0.0,10.26670470065789,10.0,0.0
2024-03-06 13:00:00+05:00,-30.19380606547515,1.0,33.50574441224133,47.5,13.695711843492841,0.0,30.19380606547515,10.0,0.0
2024-03-06 14:00:00+05:00,-2.3550009637216966,1.0,43.00574441224133,19.29868180486879,12.37093758032517,0.0,2.3550009637216966,10.0,0.0
2024-03-06 15:00:00+05:00,-3.682755157233852,1.0,44.900287220612064,11.328214889372626,11.064687349465842,0.0,3.682755157233852,1.9942555877586727,0.0
2024-03-06 16:00:00+05:00,-0.42248926349995397,0.70568585,44.995014361030606,5.278705324114032,11.53672954486719,0.0,0.42248926349995397,0.09971277938793577,0.0
2024-03-06 17:00:00+05:00,-182.08479444037346,0.15055326,44.995014361030606,2.836156996428376,10.060022644435215,1.8208479444037344,0.0,0.0,0.0
2024-03-06 18:00:00+05:00,-159.11922960436567,0.61047894,44.995014361030606,2.277842659043617,9.460795128719445,1.5911922960436566,0.0,0.0,0.0
2024-03-06 19:00:00+05:00,-208.9087052670573,0.0383523,44.995014361030606,1.276092382306486,7.654572498800495,2.089087052670573,0.0,0.0,0.0
2024-03-06 20:00:00+05:00,-0.558694904146642,0.23676103,44.99975071805153,4.639372975584332,7.02065506969268,0.0,0.558694904146642,0.0049856389693943015,0.0
2024-03-06 21:00:00+05:00,-441.78286168063255,0.109407,44.99975071805153,0.0,5.105701928199426,4.417828616806325,0.0,0.0,0.0
2024-03-06 22:00:00+05:00,-509.54803967583047,-0.031634055,44.666760664598584,0.0,5.235536032483556,5.095480396758305,0.0,0.0,0.3163405507802963
2024-03-06 23:00:00+05:00,-344.0691386896876,-0.15387149,43.04706075353123,1.362159850262313,4.470985696408197,3.4406913868968756,0.0,0.0,1.5387149155139923
2024-03-07 00:00:00+05:00,-20.93685927608787,1.0,44.90235303767656,29.632347559827853,4.517668049948885,0.0,20.93685927608787,1.9529392464687731,0.0
2024-03-07 01:00:00+05:00,-128.19996998626556,-0.16817087,43.13213336030358,5.384360887180609,4.818577194937208,1.2819996998626557,0.0,0.0,1.6817086935043335
2024-03-07 02:00:00+05:00,-174.7932552254685,-0.43479377,38.555356830690286,2.8106337925940323,4.993414343517795,1.7479325522546851,0.0,0.0,4.347937703132629
2024-03-07 03:00:00+05:00,-43.863379658713164,-0.25472647,35.87402557261919,7.0782894352591175,6.249870249252415,0.43863379658713164,0.0,0.0,2.5472646951675415
2024-03-07 04:00:00+05:00,-0.0,-0.15778708,35.31421539152944,9.945961310672436,6.699031824882846,0.0,0.0,0.0,0.5318196720352617
2024-03-07 05:00:00+05:00,-0.0,-0.21433704,35.03726818964516,10.754840050172119,7.117228540637425,0.0,0.0,0.0,0.26309984179006385
2024-03-07 06:00:00+05:00,-0.0,-0.4046472,33.15925878293104,8.744395835642068,9.004353493218069,0.0,0.0,0.0,1.7841089363784164
2024-03-07 07:00:00+05:00,-0.0,-0.4043313,30.855998970762073,8.445671184048905,9.669111911283874,0.0,0.0,0.0,2.188096821560517
2024-03-07 08:00:00+05:00,-80.26616411471123,-0.17396249,29.02481487844118,7.770714900984867,11.601863341815289,0.8036616411471122,0.0,0.0,1.7396248877048492
2024-03-07 09:00:00+05:00,-172.9234889305594,0.2619197,29.02481487844118,8.134271607121466,11.969886700848017,1.7302348893055939,0.0,0.0,0.0
2024-03-07 10:00:00+05:00,-505.3414243711624,0.016380532,29.02481487844118,4.376872679457463,12.618433693882388,5.054414243711625,0.0,0.0,0.0
2024-03-07 11:00:00+05:00,-534.2812771217181,-0.06403915,28.35071857959599,1.9168099893848298,13.336203972846798,5.343812771217181,0.0,0.0,0.6403914839029312
2024-03-07 12:00:00+05:00,-492.56188272975896,0.10108732,28.35071857959599,2.4966180416794077,13.325977175440196,4.92661882729759,0.0,0.0,0.0
2024-03-07 13:00:00+05:00,-107.13995148411306,0.5065502,28.35071857959599,5.336654701553064,12.933177070701507,1.0723995148411305,0.0,0.0,0.0
2024-03-07 14:00:00+05:00,-0.0,1.0,36.766190623948525,13.943331746787088,12.780619252808348,0.0,0.0,8.858391625634248,0.0
2024-03-07 15:00:00+05:00,-0.0,1.0,44.04927540557906,11.80853956281381,11.954091456722097,0.0,0.0,7.6664050332953,0.0
2024-03-07 16:00:00+05:00,-22.27408156276338,0.7157566,44.04927540557906,3.5544670132082525,10.824818887326746,0.22274081562763381,0.0,0.0,0.0
2024-03-07 17:00:00+05:00,-0.0,0.6037245,44.457780807036855,4.166932332016295,10.04738103945324,0.0,0.0,0.43000568574504916,0.0
2024-03-07 18:00:00+05:00,-0.13038112507420951,0.5197785,44.972889040351845,3.925157936438222,8.348517881321479,0.0,0.13038112507420951,0.5422191929631452,0.0
2024-03-07 19:00:00+05:00,-139.22971299432027,0.14977342,44.972889040351845,2.2743321593068093,7.843961415049194,1.3922971299432025,0.0,0.0,0.0
2024-03-07 20:00:00+05:00,-3.7813370838061506,0.39551842,44.998644452017594,7.670852171311662,6.948020713952529,0.0,3.7813370838061506,0.02711095964815513,0.0
2024-03-07 21:00:00+05:00,-3.803488716447104,0.37651056,44.99993222260088,8.507348027679056,5.62762048967557,0.0,3.803488716447104,0.0013555479824063354,0.0
2024-03-07 22:00:00+05:00,-10.984519999645654,0.7519836,44.999996611130044,16.383608994307156,5.316233289657422,0.0,10.984519999645654,6.777739911711933e-05,0.0
2024-03-07 23:00:00+05:00,-9.940042106596778,0.73519427,44.999999830556504,15.8336014625234,4.26480092267463,0.0,9.940042106596778,3.388869956211238e-06,0.0
2024-03-08 00:00:00+05:00,-2.113022012950154,0.2617655,44.99999999152782,8.799080428763814,4.465217900608362,0.0,2.113022012950154,1.6944349567893369e-07,0.0
2024-03-08 01:00:00+05:00,-2.411063296086141,0.1630398,44.99999999957639,11.406653719349908,4.470437901467089,0.0,2.411063296086141,8.472177626117627e-09,0.0
2024-03-08 02:00:00+05:00,-3.219661472010735,0.08702964,44.99999999997882,12.12232027701743,4.825443170492429,0.0,3.219661472010735,4.2361136820545653e-10,0.0
2024-03-08 03:00:00+05:00,-2.2813934141290737,-0.012324294,44.99999999997882,12.04507982418249,5.805091438551756,0.0,2.2813934141290737,0.0,0.0
2024-03-08 04:00:00+05:00,-113.549277344047,-0.13621151,43.56619458447396,8.113033182004862,6.516757679707628,1.13549277344047,0.0,0.0,1.3621151447296143
2024-03-08 05:00:00+05:00,-127.82109110435762,-0.03565581,43.19087025364213,9.189750151501825,7.440181033108895,1.2782109110435762,0.0,0.0,0.3565581142902374
2024-03-08 06:00:00+05:00,-2.2348719679272175,0.63417065,44.909543512682106,15.185735149279715,9.104531212949862,0.0,2.2348719679272175,1.8091297463578684,0.0
2024-03-08 07:00:00+05:00,-90.6611295863108,0.19151358,44.909543512682106,9.716163252220342,10.489803637382114,0.9066112958631081,0.0,0.0,0.0
